publishedAt,authorDisplayName,textDisplay,likeCount
2024-06-06T10:38:49Z,@jonggugi9923,"<a href=""https://www.youtube.com/watch?v=0cbvR_8Xtrk&amp;t=2797"">46:37</a> emang parah si penjajah mah",0
2024-06-06T09:12:01Z,@mohammadtanzilulfurqan1066,"Husen, ini dari dulu selalu selamat dari rudal dan peluru. Setiap perang dia selalu ada di tengah2 perang. Dia ini sepertinya punya nyawa cadangan selalu eksis di setiap momen konflik bersenjata. Namun, habis itu dia keliling Indonesia.",0
2024-06-06T08:21:38Z,@user-mj7ct4bc2t,"Kejadian di Palestine bukan lagi urusan agama ini sudah pelanggaran serius atas perampasan hidup manusia. Sudah melampaui seluruh penjajahan di bumi 😢<br><br>Semakin mereka memberikan alasan maka semakin jijik global people untuk mengakui kelompok penjajah ini adalah manusia.<br><br>Ini pembantaian makhluk hidup, hak hidup hewan, hak hidup tanaman dan hak hidup manusia dirampas dengan sadis.<br><br>Jika memaklumi dan memberikan alasan atas seluruh tindakan tsb maka di pastikan PENJAJAH DAN PENDUKUNGNYA ITU BUKAN manusia",0
2024-06-06T07:04:37Z,@bajinganjancok3889,Sumber : trust me,0
2024-06-06T08:43:55Z,@mamasiah,Sumbr :haleludah😂,0
2024-06-06T06:48:57Z,@paktarigan285,Menurut gua yg membuat banyak buzzer Israel berawal dari rusia menyerang Ukraina.  Kebanyakan masyarakat Indonesia mengatakan ura... Ura.... Seakan2 mendukung peperangan rusia. <br>Jd kita sebenarnya harus sadar terhadap diri kita sendiri. Kita satu pikiran tidak ada yg namanya peperangan.,0
2024-06-06T06:20:10Z,@pitershonkw4238,Alkitab sdh mengatakan sebelum terjadi tdk perlu pakai oknum pengamat2 di Indonesia Alkitab sdh mengatakan apa yang belum terjadi Alkitab sdh tau🙏🙏,0
2024-06-06T06:18:48Z,@vsorey,"Om ded ini msh jd BA nya Under Armour gak sih???<br>KL iya, berarti????<br>Ah, sudah lah...",0
2024-06-06T06:12:39Z,@mikasa1126,makasih om ded 🙏🏻,0
2024-06-06T05:30:13Z,@susioey8536,"Ust Husen, anda sdh menghasut rakyat Indo u membenci keturunan para nabi (Abraham, Ishak, Yakub), anda menghasut rakyat indo untuk membenci bangsanya Yusuf, Musa, Daud, Sulaeman, Zakharia, Yahyah, dll.",0
2024-06-06T04:19:58Z,@TVSinau,"<a href=""https://www.youtube.com/watch?v=0cbvR_8Xtrk&amp;t=1343"">22:23</a> negara² muslim gagal karena barat berhasil membuat umat Islam jauh<br> dari agamanya. <br><br>Jangan bicara politik dulu.<br><br>Masalah ini adalah sejarah yang berulang dari sejak dahulu kala.<br><br>Rosulullah sudah memberitakan bawa umat Islam. Akan diperebutkan seperti makanan di meja makan.<br>Kemudian ketika  para sahabat bertanya solusi.<br>Maka Rosulullah menjawab &quot;kalau mereka kembali ke aturan Islam, maka dia tidak akan mudah di ceraiberaikan&quot;<br><br>Kemudian bagaimana cara umat Islam bersatu, sedangkan banyak kelompok² yang masing² bangga dengan kelompoknya (seperti juga yang diberitakan nabi ﷺ)<br><br>Solusinya adalah kembali ke pemahaman Al Qur&#39;an dan Hadits sohih sesuai dengan pemahaman generasi salafus sholeh.<br>Menegakkan tauhid menjauhi syirik bidah dan khurafat.",0
2024-06-06T04:17:09Z,@morvin9272,ternyata masih ada saja orang indo yang masih bisa di bodoh bodohi oleh media barat atau media israel....<br>tentang kebenaran situasi sebenarnya di palestina...,1
2024-06-06T04:06:38Z,@jayiyi8336,"Makasih Husein udh mengungkapkan apa penderitaan sodara2kita d tanah berdaulat 🇵🇸☝️🇵🇸☝️🇵🇸 di jajahan, rampas semoga PBB OKI tidak 😵🤐🦻",0
2024-06-06T04:01:37Z,@ariniaja3857,Skrg tau knp negara2 yg dkt dg palestina gk mau bantu 😢😢😢,0
2024-06-06T03:49:25Z,@kristinaibu6270,Kenapa Allah tidak membuat mati Netanyahu. Apakah ini memang sudah takdir. Allah sedang menyeleksi... Siapa penghuni surga dan siapa penghuni neraka... Entahlah... Hanya Allah yang Maha Tahu,0
2024-06-06T03:47:55Z,@krisnadewi2012,Dg adanya pot cas ini menambah semangat saya untuk terus semangat share berita Palestine dan boikot produk,0
2024-06-06T03:44:12Z,@ferdyanadiary5429,Om ded coba dong ajak Netanyahu Fight di Ring tinju tanpa pelindung klau bisa,0
2024-06-06T03:36:29Z,@MuhammadYusuf-xh6gh,"Kita sepakat israel penjajah, melanggar hak asasi manusia, tapi satu pertanyaan sederhana seandainya hamas tidak memulai apakah semua ini akan terjadi ? Kepentingan politik hamas yg membawa agama setali tiga uang dengan zionist penjajah, yg korban siapa? Sepertinya hamas tidak lebih paham agama dari pada pedagang asongan",0
2024-06-06T03:23:56Z,@epandelliano6859,Kenapa gw nangis😢,0
2024-06-06T02:31:40Z,@ekameilansari2591,"Pas mas husain bilang rindu melihat senyum anak2 gaza, langsung loooh meleleh😭😭😭😭",0
2024-06-06T02:30:47Z,@janvanwelvaart8334,Ini kan pelaku yg doxxing &amp; ngancem guru gembul dulu kan?,0
2024-06-06T02:10:21Z,@hendrassp2667,Akhirnya ustadz M Husien ketemu om dedy 👍,0
2024-06-06T02:10:17Z,@GsfoodIkanbakar,Kanker kulit di Israel lumayan tinggi..,0
2024-06-06T00:46:22Z,@urangsunda3244,"We stand against any violence. <br>No Hamas, No Zionis. <br>Free People of Palestina and Israel.<br>Allahu Akbar. May Allah Bless upon you.",0
2024-06-06T00:14:12Z,@saranaintilogitama5789,Free palestine,0
2024-06-05T23:56:49Z,@ibiwskuy7199,bisa ga si ngundang setanyahu ke podcast ini ?,0
2024-06-05T21:44:25Z,@soundofprophet8783,2.1 M yg nonton 😂 emang org Indonesia suka dibohongin😅 ...  Ampun dah,0
2024-06-05T23:54:39Z,@thariqsheanz9775,?,0
2024-06-06T08:44:30Z,@mamasiah,Yg bohong tuh israhel,0
2024-06-05T21:32:34Z,@HagoHoga,"Kalo ada temen, tetangga, atau sodara  kalian yg ngomong kyk gini &quot;Ngapain urusin negara org.., negara sendiri juga lagi susah&quot;   &quot;ngapain bantuin org2 dari negara lain, org2 di sini aja pada susah&quot;   plisss TABOK tuh org, biar otak nya lancar🙏🙏😊😊",0
2024-06-05T18:59:11Z,@27Yumna,Bang dedi kenapa si netayahu ga d santet aja skalian😢😂 kan katanya d indonesia pda kebal tuh byk yg pnya ilmu hitam katanya..😂,0
2024-06-05T18:10:09Z,@pakjonk4571,"Terlalu pokus ke negara org sampai lupa negara sendiri yg mengalami musibah tanah longsor di sulsel saya sebagai saksi menyaksikan di mana kurang nya bantuan bagi mereka yg mengalami kerugian bahkan korban jiwa, mungkin krna kami minoritas sehingga mereka hanya melihat dari sesama keyakinan  sesama pembayar pajak ke negara tapi malah pokus ke negara org",0
2024-06-05T17:51:24Z,@nenengnadiaharyanti5076,"<a href=""https://www.youtube.com/watch?v=0cbvR_8Xtrk&amp;t=2809"">46:49</a>",0
2024-06-05T17:40:22Z,@user-qf5de6ct5m,"Merinding aku dengar narasi dan cerita dari Bro Husein, masyaAllah.....doa terbaik ku untuk Palestina....❤.....dan teman2 netizen baikku....ayok support pemberitaan ini, ternyata itu salah satu bentuk Pahala bagi kita.... Aamiin 🤲🏻,",2
2024-06-05T17:29:25Z,@BapakIbukDalung,Freee,1
2024-06-05T17:29:16Z,@BapakIbukDalung,Freeeeeeee❤❤❤ palestin,1
